SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Vitamin B2,Vitamins,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Vitamin B2,Vitamins,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Vitamin B2,Vitamins,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Vitamin B6,Vitamins,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Vitamin B6,Vitamins,Formulation,Yes
6,Feed supplements,Ascorbic acid,Ascorbic acid,3,Nutritional Supplement,,Vitamin C,Antioxidants,Chemical,No
65,Unknown,C+,C+,8,Immunostimulant,,Vitamin C,Antioxidants,Formulation,Yes
121,Immunostimulant,Eskavit C,Eskavit C,2,Immunostimulant,,Vitamin C,Antioxidants,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
134,"Immunostimulant, Antibiotic",Nutrigel,Nutrigel,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
136,"Immunostimulant, Antibiotic",Ossi C,Ossi C,2,Immunostimulant,,Vitamin C,Antioxidants,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Vitamin D3,Antioxidants,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Vitamin D3,Antioxidants,Formulation,Yes
123,Immunostimulant,Gelatin,Gelatin,23,Nutritional Supplement,,Vitamin D3,Antioxidants,Formulation,Yes
133,Immunostimulant,Nutri Gel,Nutri Gel,1,Nutritional Supplement,,Vitamin D3,Antioxidants,Formulation,Yes
