SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Dextrose,Feed Supplement,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Dextrose monohydrate,Feed Supplement,Formulation,Yes
5,Pesticides,Andicone(Trade name),Andicone(Trade name),3,Pesticide,Insecticide - organophosphate,Diazinon,Pesticide,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Dicalcium phosphate,Feed Supplement,Formulation,Yes
117,Mineral buffer,DCP Plus,DCP Plus,1,Nutritional Supplement,,Dicalcium phosphate,Feed Supplement,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Dicalcium phosphate,Feed Supplement,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Dl-alpha tocopheryl acetate,Vitamins,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,DL-methionine,Feed Supplement,Formulation,Yes
45,Pesticides,Simba (Trade name),Simba (Trade name),1,Pesticide,Insecticide - piscicide,Emamectin benzoate,Pesticide,Formulation,Yes
127,Immunostimulant,K-Max,K-Max,115,Nutritional Supplement,,Enriched potassium,Mineral elements,Formulation,Yes
125,"Probiotic, Immunostimulant",Gut Plus,Gut Plus,6,Probiotic,,Enzymes,Enzymes,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Enzymes - Amylase,Enzymes,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Fat,Feed Supplement,Formulation,Yes
28,Fungicide,Flusilazole,Flusilazole,1,Pesticide,Fungicide,Flusilazole,Pesticide,Chemical,No
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Folate,Vitamins,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Folic acid,Vitamins,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Folic acid,Vitamins,Formulation,Yes
50,Feed supplements,Vitamins,Square aquamix,2,Nutritional Supplement,,Fructo-oligosaccharide,Feed Supplement,Formulation,Yes
29,Antibiotics,Furazolidone,Furoxone,2,Pesticide,Fungicide,Furazolidone,Antimicrobial,Formulation,Yes
65,Unknown,C+,C+,8,Immunostimulant,,Glucose,Feed Supplement,Formulation,Yes
162,Toxic gas reducer,Yuca,Yuca,1,Water quality treatment,,Glyco component,Feed Supplement,Formulation,Yes
50,Feed supplements,Vitamins,Square aquamix,2,Nutritional Supplement,,Helmox,Antimicrobial,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Hemicellulase,Enzymes,Formulation,Yes
31,Pesticides,Hexako,Hexako,1,Pesticide,Insecticide - piscicide,Hexaflumuron,Pesticide,Formulation,Yes
32,Pesticides,Hildon,Hildon,1,Pesticide,Insecticide - piscicide,Hydramethylnon,Pesticide,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Inositol,Feed Supplement,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Iodine,Mineral elements,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Iron,Mineral elements,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Iron,Mineral elements,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Iron,Mineral elements,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Iron,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Iron,Mineral elements,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Iron sulfate,Pesticide,Formulation,Yes
25,Pesticides,Dartimac (Trade name),Dartimac (Trade name),5,Pesticide,Insecticide - piscicide,Ivermectin,Pesticide,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Lactobacillus acidophilus,Probiotic - bacteria,Formulation,Yes
132,Probiotic,Navio Plus,Navio Plus,1,Probiotic,,Lactobacillus acidophilus,Probiotic - bacteria,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Lactobacillus helveticus,Probiotic - bacteria,Formulation,Yes
132,Probiotic,Navio Plus,Navio Plus,1,Probiotic,,Lactobacillus plantarum,Probiotic - bacteria,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Lactococcus lactis,Probiotic - bacteria,Formulation,Yes
33,Pesticides,Karate (Trade name),Karate (Trade name),2,Pesticide,Insecticide - organochlorine,Lambda-cyhalothrin,Pesticide,Formulation,Yes
33,Pesticides,Lambda-cyhalothrin,Karate (Trade name),2,Pesticide,Insecticide - organochlorine,Lambda-cyhalothrin,Pesticide,Formulation,Yes
33,Pesticides,Lamba - cyhalothrin,Karate (Trade name),2,Pesticide,Insecticide - organochlorine,Lambda-cyhalothrin,Pesticide,Formulation,Yes
111,Vitamins,CeVit- Aqua,CeVit- Aqua,42,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Lipase,Enzymes,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Lipase,Enzymes,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Lysine,Feed Supplement,Formulation,Yes
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Magnesium,Mineral elements,Formulation,Yes
109,Immunostimulant,Calmag,Calmag,144,Nutritional Supplement,,Magnesium,Mineral elements,Formulation,Yes
110,Mineral elements,Calsimag,Calsimag,1,Nutritional Supplement,,Magnesium,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Magnesium,Mineral elements,Formulation,Yes
127,Immunostimulant,K-Max,K-Max,115,Nutritional Supplement,,Magnesium,Mineral elements,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Magnesium,Mineral elements,Formulation,Yes
153,Immunostimulant,Soda mix,Soda mix,148,Nutritional Supplement,,Magnesium,Mineral elements,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Magnesium,Mineral elements,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Magnesium chloride,Feed Supplement,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Magnesium oxide,Mineral elements,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Magnesium sulphate,Inorganic compound,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Magnesium sulphate,Inorganic compound,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Manganese,Mineral elements,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Manganese,Mineral elements,Formulation,Yes
113,Bactericide/fungicide/virustatic,China Aqua Jet Plus,China Aqua Jet Plus,39,Disinfectant,,Manganese,Mineral elements,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Manganese,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Manganese,Mineral elements,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Manganese,Mineral elements,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Manganese chloride,Feed Supplement,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Manganese sulfate,Inorganic compound,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Menadione sodium bisulfite complex,Vitamins,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Methionine,Feed Supplement,Formulation,Yes
35,Pesticides,Methylene blue,Methylene blue,1,Disinfectant,,Methylthioninium chloride,Antimicrobial,Chemical,No
50,Feed supplements,Vitamins,Square aquamix,2,Nutritional Supplement,,Minerals,Mineral elements,Formulation,Yes
125,"Probiotic, Immunostimulant",Gut Plus,Gut Plus,6,Nutritional Supplement,,Minerals,Mineral elements,Formulation,Yes
149,Organic and inorganic compounds,Sentrox-Oma gel,Sentrox-Oma gel,10,Nutritional Supplement,,Minerals,Mineral elements,Formulation,Yes
153,Immunostimulant,Soda mix,Soda mix,148,Nutritional Supplement,,Minerals,Mineral elements,Formulation,Yes
157,Unknown,Viva Growth,Viva Growth,3,Nutritional Supplement,,Minerals,Mineral elements,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Monosodium phosphate,Feed Supplement,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Niacin,Vitamins,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Niacin,Vitamins,Formulation,Yes
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Nitrate,Fertiliser,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Nitrobacter,Probiotic - bacteria,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Nitrobacter,Probiotic - bacteria,Formulation,Yes
61,Probiotic,Biocult,Biocult,3,Probiotic,,Nitrogen,Fertiliser,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Nitrosomonas,Probiotic - bacteria,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Nitrosomonas,Probiotic - bacteria,Formulation,Yes
149,Organic and inorganic compounds,Sentrox-Oma gel,Sentrox-Oma gel,10,Nutritional Supplement,,Omega 3,Feed Supplement,Formulation,Yes
149,Organic and inorganic compounds,Sentrox-Oma gel,Sentrox-Oma gel,10,Nutritional Supplement,,Omega 6,Feed Supplement,Formulation,Yes
127,Immunostimulant,K-Max,K-Max,115,Nutritional Supplement,,Other nutrients,Feed Supplement,Formulation,Yes
37,Water and sediment,Oxygen supply agent,Oxygen supply agent,5,Oxygenation treatment,,Oxidant,Oxygen precursors,Formulation,Yes
160,"Oxygen supplier, Toxic gas reducer",Water care,Water care,66,Oxygenation treatment,,Oxide element,Oxygen precursors,Formulation,Yes
136,"Immunostimulant, Antibiotic",Ossi C,Ossi C,2,Immunostimulant,,Oxolinic Acid,Antimicrobial,Formulation,Yes
38,Antibiotics,Oxytetracycline,Terramycin,3,Antibiotic,Tetracycline,Oxytetracycline,Antimicrobial,Formulation,Yes
38,Antibiotics,Oxytetracyline,Terramycin,3,Antibiotic,Tetracycline,Oxytetracycline,Antimicrobial,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Pantothenic acid,Vitamins,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Pantothenic Acid,Vitamins,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Paracoccus denitrificans,Probiotic - bacteria,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Pectinase,Enzymes,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Pediococcus,Probiotic - bacteria,Formulation,Yes
39,Pesticides,Phenthoate,Agricultural pesticide,16,Pesticide,Insecticide - organophosphate,Phenthoate,Pesticide,Chemical,No
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Phosphorus,Fertiliser,Formulation,Yes
61,Probiotic,Biocult,Biocult,3,Probiotic,,Phosphorus,Fertiliser,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Phosphorus,Fertiliser,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Phytase,Enzymes,Formulation,Yes
66,Immunostimulant,C-150,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
67,Immunostimulant,C-150,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
68,Immunostimulant,C-151,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
69,Immunostimulant,C-152,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
70,Immunostimulant,C-153,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
71,Immunostimulant,C-154,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
72,Immunostimulant,C-155,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
73,Immunostimulant,C-156,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
74,Immunostimulant,C-157,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
75,Immunostimulant,C-158,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
76,Immunostimulant,C-159,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
77,Immunostimulant,C-160,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
78,Immunostimulant,C-161,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
79,Immunostimulant,C-162,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
80,Immunostimulant,C-163,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
81,Immunostimulant,C-164,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
82,Immunostimulant,C-165,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
83,Immunostimulant,C-166,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
84,Immunostimulant,C-167,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
85,Immunostimulant,C-168,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
86,Immunostimulant,C-169,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
87,Immunostimulant,C-170,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
88,Immunostimulant,C-171,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
89,Immunostimulant,C-172,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
90,Immunostimulant,C-173,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
91,Immunostimulant,C-174,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
92,Immunostimulant,C-175,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
93,Immunostimulant,C-176,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
94,Immunostimulant,C-177,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
95,Immunostimulant,C-178,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
96,Immunostimulant,C-179,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
97,Immunostimulant,C-180,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
98,Immunostimulant,C-181,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
99,Immunostimulant,C-182,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
100,Immunostimulant,C-183,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
101,Immunostimulant,C-184,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
102,Immunostimulant,C-185,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
103,Immunostimulant,C-186,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
104,Immunostimulant,C-187,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
105,Immunostimulant,C-188,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
106,Immunostimulant,C-189,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
107,Immunostimulant,C-190,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
108,Immunostimulant,C-191,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
109,Immunostimulant,C-192,C-150,1,Nutritional Supplement,,Vitamin C,Antioxidants,Formulation,Yes
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Potassium,Fertiliser,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Potassium,Fertiliser,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Potassium,Fertiliser,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Potassium,Fertiliser,Formulation,Yes
128,Bactericide/virustatic,Metro Aqua Solution,Metro Aqua Solution,17,Sediment treatment,,Potassium,Fertiliser,Formulation,Yes
153,Immunostimulant,Soda mix,Soda mix,148,Nutritional Supplement,,Potassium,Fertiliser,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Potassium,Fertiliser,Formulation,Yes
150,Mineral elements,Shell min,Shell min,2,Nutritional Supplement,,Potassium chloride,Inorganic compound,Formulation,Yes
40,Disinfectants,Potassium permanganate,Potassium permanganate,23,Disinfectant,,Potassium permanganate,Disinfectants - Non Cl based,Chemical,No
113,Bactericide/fungicide/virustatic,China Aqua Jet Plus,China Aqua Jet Plus,39,Disinfectant,,Potassium permanganate,Disinfectants - Non Cl based,Formulation,Yes
1,Pesticides,(Ag)Rifit(Trade name),(Ag)Rifit(Trade name),1,Pesticide,Herbicide,Pretilachlor,Pesticide,Formulation,Yes
2,Herbicide,(Ag)Rifit(Trade name),(Ag)Rifit(Trade name),1,Pesticide,Herbicide,Pretilachlor,Pesticide,Formulation,Yes
134,"Immunostimulant, Antibiotic",Nutrigel,Nutrigel,1,Nutritional Supplement,,Probiotic,Probiotic - bacteria,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Protease,Enzymes,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Protease,Enzymes,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Protease,Enzymes,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Protein,Feed Supplement,Formulation,Yes
123,Immunostimulant,Gelatin,Gelatin,23,Nutritional Supplement,,Protein,Feed Supplement,Formulation,Yes
134,"Immunostimulant, Antibiotic",Nutrigel,Nutrigel,1,Nutritional Supplement,,Protein hydrosilate,Feed Supplement,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Pseudomonas denitrificans,Probiotic - bacteria,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Pyridoxine,Vitamins,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Pyridoxine hydrochloride,Vitamins,Formulation,Yes
51,Pesticides,Zaddid (Trade name),Zaddid (Trade name),1,Pesticide,Insecticide - piscicide,Pyriproxyfen,Pesticide,Formulation,Yes
156,Probiotic,Super PS,Super PS,159,Probiotic,,Rhodoccus sp.,Probiotic - bacteria,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Riboflavin,Vitamins,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Riboflavin,Vitamins,Formulation,Yes
41,Pesticides,Rotenone,Rotenone,17,Pesticide,Insecticide - piscicide,Rotenone,Pesticide,Chemical,No
50,Feed supplements,Vitamins,Square aquamix,2,Nutritional Supplement,,Saccharomyces cerevisiae,Probiotic - other,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Saccharomyces cerevisiae,Probiotic - other,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Saccharomyces cerevisiae,Probiotic - other,Formulation,Yes
158,Unknown,Viva Pond,Viva Pond,3,Probiotic,,Saponin steroid,Feed Supplement,Formulation,Yes
162,Toxic gas reducer,Yuca,Yuca,1,Water quality treatment,,Saponin steroid,Feed Supplement,Formulation,Yes
63,Immunostimulant,Biozyme,Biozyme,4,Immunostimulant,,Selenium,Mineral elements,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Selenium,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Selenium,Mineral elements,Formulation,Yes
146,Enhance natural food,Sanolife Nutrilake,Sanolife Nutrilake,3,Sediment treatment,,Silicate,Inorganic compound,Formulation,Yes
56,Mineral elements,A. Soil,A. Soil,72,Sediment treatment,,Silicon,Mineral elements,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Silicon dioxide,Inorganic compound,Formulation,Yes
130,"Immunostimulant, Feed additive",Mutagen,Mutagen,118,Nutritional Supplement,,Silicon dioxide,Inorganic compound,Formulation,Yes
