FarmID,FarmScaleID,SpeciesID,SubstanceUsed,SubstanceCategory,Location,SubstanceSubCategory,ActiveSubstance,ActiveSubCategory,ChemFormulation,Commercial
88-001,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-001,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-002,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-002,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-003,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-003,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-003,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-003,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-004,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-004,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-004,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-004,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-004,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-005,Medium,Macrobrachium rosenbergii,Bleaching powder,Disinfectant,Khulna,Chlorine-based,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
88-005,Medium,Macrobrachium rosenbergii,Bleaching powder,Disinfectant,Khulna,Chlorine-based,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
88-005,Medium,Macrobrachium rosenbergii,Bleaching powder,Disinfectant,Khulna,Chlorine-based,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
88-005,Medium,Penaeus monodon,Bleaching powder,Disinfectant,Khulna,Chlorine-based,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
88-005,Medium,Macrobrachium rosenbergii,Bleaching powder,Disinfectant,Khulna,Chlorine-based,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
88-005,Medium,Penaeus monodon,Bleaching powder,Disinfectant,Khulna,Chlorine-based,Calcium hypochlorite,Disinfectants - Cl based,Chemical,No
88-006,Medium,Macrobrachium rosenbergii,Zephiran,Disinfectant,Khulna,Chlorine-based,Benzalkonium chloride,Disinfectants - Cl based,Formulation,Yes
88-006,Medium,Macrobrachium rosenbergii,Zephiran,Disinfectant,Khulna,Chlorine-based,Benzalkonium chloride,Disinfectants - Cl based,Formulation,Yes
88-006,Medium,Macrobrachium rosenbergii,Zephiran,Disinfectant,Khulna,Chlorine-based,Benzalkonium chloride,Disinfectants - Cl based,Formulation,Yes
88-006,Medium,Penaeus monodon,Zephiran,Disinfectant,Khulna,Chlorine-based,Benzalkonium chloride,Disinfectants - Cl based,Formulation,Yes
88-006,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-007,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-007,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-007,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-008,Medium,Macrobrachium rosenbergii,Potassium permanganate,Disinfectant,Khulna,,Potassium permanganate,Disinfectants - Non Cl based,Chemical,No
88-008,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-009,Medium,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-009,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-009,Medium,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-010,Small,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-010,Small,Macrobrachium rosenbergii,Zeolite,Water quality treatment,Khulna,Coagulant,Zeolite,Coagulant,Chemical,No
88-010,Small,Macrobrachium rosenbergii,Zeolite,Water quality treatment,Khulna,Coagulant,Zeolite,Coagulant,Chemical,No
88-010,Small,Macrobrachium rosenbergii,Zeolite,Water quality treatment,Khulna,Coagulant,Zeolite,Coagulant,Chemical,No
88-010,Small,Macrobrachium rosenbergii,Zeolite,Water quality treatment,Khulna,Coagulant,Zeolite,Coagulant,Chemical,No
88-010,Small,Penaeus monodon,Zeolite,Water quality treatment,Khulna,Coagulant,Zeolite,Coagulant,Chemical,No
88-011,Small,Macrobrachium rosenbergii,Furadan,Pesticide,Khulna,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
88-011,Small,Macrobrachium rosenbergii,Aluminum potassium sulfate,Pesticide,Khulna,Insecticide - piscicide,Alum,Coagulant,Chemical,No
88-011,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-012,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-012,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-012,Small,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-013,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-013,Small,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-013,Small,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-013,Small,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-014,Small,Macrobrachium rosenbergii,Furadan,Pesticide,Khulna,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
88-014,Small,Penaeus monodon,Aluminum potassium sulfate,Pesticide,Khulna,Insecticide - piscicide,Alum,Coagulant,Chemical,No
88-014,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-015,Small,Macrobrachium rosenbergii,Furadan,Pesticide,Khulna,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
88-015,Small,Macrobrachium rosenbergii,Furadan,Pesticide,Khulna,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
88-015,Small,Penaeus monodon,Furadan,Pesticide,Khulna,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
88-015,Small,Macrobrachium rosenbergii,Furadan,Pesticide,Khulna,Insecticide - piscicide,Carbafuran,Pesticide,Formulation,Yes
88-016,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-016,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-016,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-016,Small,Penaeus monodon,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-017,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-017,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
88-017,Small,Macrobrachium rosenbergii,Agricultural lime,Sediment treatment,Khulna,Lime,Calcium carbonate,Inorganic compound,Chemical,No
